Guild ID,Trigger,Response,Type,User ID,Added Time UTC (DD-MM-YYYY HH:MM:SS)
894530635631329290,<@608299631972974602>,I'm the Pro Scientist,Message,454219912773107723,1633347438.535983
894530635631329290,864098445060734987,Hello There,Message,454219912773107723,1633347568.5304
